id,state_county_fips,total_housing_units,total_population,year_of
0,01001,54571,22135,2010
1,01003,182265,104061,2010
2,01005,27457,11829,2010
3,01007,22915,8981,2010
4,01009,57322,23887,2010
5,01011,10914,4493,2010
6,01013,20947,9964,2010
7,01015,118572,53289,2010
8,01017,34215,17004,2010
9,01019,25989,16267,2010
10,01021,43643,19278,2010
11,01023,13859,7269,2010
12,01025,25833,12638,2010
13,01027,13932,6776,2010
14,01029,14972,6718,2010
15,01031,49948,22330,2010
16,01033,54428,25758,2010
17,01035,13228,7093,2010
18,01037,11539,6478,2010
19,01039,37765,18829,2010
20,01041,13906,6735,2010
21,01043,80406,37054,2010
22,01045,50251,22677,2010
23,01047,43820,20208,2010
24,01049,71109,31109,2010
25,01051,79303,32657,2010
26,01053,38319,16486,2010
27,01055,104430,47454,2010
28,01057,17241,8437,2010
29,01059,31704,14022,2010
30,01061,26790,12687,2010
31,01063,9045,5007,2010
32,01065,15760,7655,2010
33,01067,17302,8891,2010
34,01069,101547,45319,2010
35,01071,53227,24786,2010
36,01073,658466,300552,2010
37,01075,14564,7354,2010
38,01077,92709,43791,2010
39,01079,34339,15229,2010
40,01081,140247,62391,2010
41,01083,82782,34977,2010
42,01085,11299,5140,2010
43,01087,21452,10259,2010
44,01089,334811,146447,2010
45,01091,21027,10237,2010
46,01093,30776,14737,2010
47,01095,93019,40342,2010
48,01097,412992,178196,2010
49,01099,23068,11333,2010
50,01101,229363,101641,2010
51,01103,119490,51193,2010
52,01105,10591,4737,2010
53,01107,19746,9483,2010
54,01109,32899,15267,2010
55,01111,22913,11982,2010
56,01113,52947,24595,2010
57,01115,83593,35541,2010
58,01117,195085,80970,2010
59,01119,13763,6786,2010
60,01121,82291,37088,2010
61,01123,41616,22111,2010
62,01125,194656,84872,2010
63,01127,67023,30816,2010
64,01129,17581,8407,2010
65,01131,11670,5649,2010
66,01133,24484,13469,2010
67,02013,3141,747,2010
68,02016,5561,1929,2010
69,02020,291826,113032,2010
70,02050,17013,5919,2010
71,02060,997,969,2010
72,02068,1826,1771,2010
