dma_code,dma_description
001,NEW YORK (NY)                                                        
002,LOS ANGELES (CA)                                                     
003,CHICAGO (IL)                                                         
004,PHILADELPHIA (PA)                                                    
005,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    
006,BOSTON (MA) - MANCHESTER (NH)                                        
007,DALLAS (TX) - FT. WORTH (TX)                                         
008,WASHINGTON (DC) - HAGERSTOWN (MD)                                    
009,ATLANTA (GA)                                                         
010,DETROIT (MI)                                                         
011,HOUSTON (TX)                                                         
012,SEATTLE (WA) - TACOMA (WA)                                           
013,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)                     
014,MINNEAPOLIS (MN) - ST. PAUL (MN)                                     
015,CLEVELAND (OH) - AKRON (OH) - CANTON (OH)                            
016,PHOENIX (AZ)                                                         
017,MIAMI (FL) - FT. LAUDERDALE (FL)                                     
018,DENVER (CO)                                                          
019,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       
020,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   
021,PITTSBURGH (PA)                                                      
022,ST. LOUIS (MO)                                                       
023,PORTLAND (OR)                                                        
024,BALTIMORE (MD)                                                       
025,INDIANAPOLIS (IN)                                                    
026,SAN DIEGO (CA)                                                       
027,HARTFORD (CT) - NEW HAVEN (CT)                                       
028,CHARLOTTE (NC)                                                       
029,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       
030,NASHVILLE (TN)                                                       
031,MILWAUKEE (WI)                                                       
032,CINCINNATI (OH)                                                      
033,KANSAS CITY (MO)                                                     
034,COLUMBUS (OH)                                                        
035,GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  
036,SALT LAKE CITY (UT)                                                  
037,SAN ANTONIO (TX)                                                     
038,GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               
039,WEST PALM BEACH (FL) - FT. PIERCE (FL)                               
040,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    
041,NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   
042,NEW ORLEANS (LA)                                                     
043,MEMPHIS (TN)                                                         
044,BUFFALO (NY)                                                         
045,OKLAHOMA CITY (OK)                                                   
046,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               
047,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          
048,PROVIDENCE (RI) - NEW BEDFORD (MA)                                   
049,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
050,LOUISVILLE (KY)                                                      
051,JACKSONVILLE (FL)                                                    
052,LAS VEGAS (NV)                                                       
053,WILKES BARRE (PA) - SCRANTON (PA)                                    
054,AUSTIN (TX)                                                          
055,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
056,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   
057,FRESNO (CA) - VISALIA (CA)                                           
058,DAYTON (OH)                                                          
059,RICHMOND (VA) - PETERSBURG (VA)                                      
060,TULSA (OK)                                                           
061,CHARLESTON (WV) - HUNTINGTON (WV)                                    
062,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       
063,KNOXVILLE (TN)                                                       
064,FLINT (MI) - SAGINAW (MI) - BAY CITY (MI)                            
065,LEXINGTON (KY)                                                       
066,WICHITA (KS) - HUTCHINSON (KS)                                       
067,ROANOKE (VA) - LYNCHBURG (VA)                                        
068,TOLEDO (OH)                                                          
069,GREEN BAY (WI) - APPLETON (WI)                                       
070,FT. MYERS (FL) - NAPLES (FL)                                         
071,HONOLULU (HI)                                                        
072,DES MOINES (IA) - AMES (IA)                                          
073,SPRINGFIELD (MO)                                                     
074,TUCSON (AZ) - SIERRA VISTA (AZ)                                      
075,PADUCAH (KY) - CAPE GIRARDEAU (MO) - HARRISBURG (IL) - MT VERNON (KS)
076,PORTLAND (ME) - AUBURN (ME)                                          
077,ROCHESTER (NY)                                                       
078,OMAHA (NE)                                                           
079,SPOKANE (WA)                                                         
080,SYRACUSE (NY)                                                        
081,SHREVEPORT (LA)                                                      
