state_county_fips,state_fips,county_fips,county_name,dma_code
01001,01,001,Autauga,116
01003,01,003,Baldwin,062
01005,01,005,Barbour,126
01007,01,007,Bibb,040
01009,01,009,Blount,040
01011,01,011,Bullock,116
01013,01,013,Butler,116
01015,01,015,Calhoun,040
01017,01,017,Chambers,126
01019,01,019,Cherokee,040
01021,01,021,Chilton,040
01023,01,023,Choctaw,185
01025,01,025,Clarke,062
01027,01,027,Clay,040
01029,01,029,Cleburne,009
01031,01,031,Coffee,171
01033,01,033,Colbert,083
01035,01,035,Conecuh,062
01037,01,037,Coosa,116
01039,01,039,Covington,116
01041,01,041,Crenshaw,116
01043,01,043,Cullman,040
01045,01,045,Dale,171
01047,01,047,Dallas,116
01049,01,049,DeKalb,083
01051,01,051,Elmore,116
01053,01,053,Escambia,062
01055,01,055,Etowah,040
01057,01,057,Fayette,040
01059,01,059,Franklin,083
01061,01,061,Geneva,171
01063,01,063,Greene,040
01065,01,065,Hale,040
01067,01,067,Henry,171
01069,01,069,Houston,171
01071,01,071,Jackson,083
01073,01,073,Jefferson,040
01075,01,075,Lamar,131
01077,01,077,Lauderdale,083
01079,01,079,Lawrence,083
01081,01,081,Lee,126
01083,01,083,Limestone,083
01085,01,085,Lowndes,116
01087,01,087,Macon,116
01089,01,089,Madison,083
01091,01,091,Marengo,116
01093,01,093,Marion,040
01095,01,095,Marshall,083
01097,01,097,Mobile,062
01099,01,099,Monroe,062
01101,01,101,Montgomery,116
01103,01,103,Morgan,083
01105,01,105,Perry,116
01107,01,107,Pickens,040
01109,01,109,Pike,116
01111,01,111,Randolph,009
01113,01,113,Russell,126
01115,01,115,St. Clair,040
01117,01,117,Shelby,040
01119,01,119,Sumter,185
01121,01,121,Talladega,040
01123,01,123,Tallapoosa,116
01125,01,125,Tuscaloosa,040
01127,01,127,Walker,040
01129,01,129,Washington,062
01131,01,131,Wilcox,116
01133,01,133,Winston,040
02013,02,013,Aleutians East Borough,
02016,02,016,Aleutians West Census Area,
02020,02,020,Anchorage Municipality,156
02050,02,050,Bethel Census Area,
02060,02,060,Bristol Bay Borough,
02068,02,068,Denali Borough,203
02070,02,070,Dillingham Census Area,
02090,02,090,Fairbanks North Star Borough,203
02100,02,100,Haines Borough,
02105,02,105,Hoonah-Angoon Census Area,
02110,02,110,Juneau City and Borough,206
02122,02,122,Kenai Peninsula Borough,156
02130,02,130,Ketchikan Gateway Borough,
02150,02,150,Kodiak Island Borough,
02164,02,164,Lake and Peninsula Borough,
02170,02,170,Matanuska-Susitna Borough,156
02180,02,180,Nome Census Area,
02185,02,185,North Slope Borough,
02188,02,188,Northwest Arctic Borough,
02195,02,195,Petersburg Census Area,
02198,02,198,Prince of Wales-Hyder Census Area,
02220,02,220,Sitka City and Borough,
02230,02,230,Skagway Municipality,
02240,02,240,Southeast Fairbanks Census Area,203
02261,02,261,Valdez-Cordova Census Area,
02270,02,270,Wade Hampton Census Area,
02275,02,275,Wrangell City and Borough,
02282,02,282,Yakutat City and Borough,
02290,02,290,Yukon-Koyukuk Census Area,203
04001,04,001,Apache,049
04003,04,003,Cochise,074
04005,04,005,Coconino,016
04007,04,007,Gila,016
04009,04,009,Graham,016
04011,04,011,Greenlee,016
04012,04,012,La Paz,016
04013,04,013,Maricopa,016
04015,04,015,Mohave,016
04017,04,017,Navajo,016
04019,04,019,Pima,074
04021,04,021,Pinal,016
04023,04,023,Santa Cruz,074
04025,04,025,Yavapai,016
04027,04,027,Yuma,172
05001,05,001,Arkansas,056
05003,05,003,Ashley,133
05005,05,005,Baxter,073
05007,05,007,Benton,108
05009,05,009,Boone,073
05011,05,011,Bradley,056
05013,05,013,Calhoun,056
05015,05,015,Carroll,073
05017,05,017,Chicot,182
05019,05,019,Clark,056
05021,05,021,Clay,181
05023,05,023,Cleburne,056
05025,05,025,Cleveland,056
05027,05,027,Columbia,081
05029,05,029,Conway,056
05031,05,031,Craighead,181
