ZIP,FIPS_STATE_CODE,COUNTY_CODE,state_county_fips,STATE,DMA
01001,25,013,25013,MA,0543
01002,25,015,25015,MA,0543
01003,25,015,25015,MA,0543
01004,25,015,25015,MA,0543
01005,25,027,25027,MA,0506
01007,25,000,25000,MA,0000
01007,25,015,25015,MA,0543
01008,25,013,25013,MA,0543
01009,25,013,25013,MA,0543
01010,25,013,25013,MA,0543
01011,25,013,25013,MA,0543
01011,25,015,25015,MA,0543
01012,25,015,25015,MA,0543
01013,25,013,25013,MA,0543
01014,25,013,25013,MA,0543
01020,25,000,25000,MA,0000
01020,25,013,25013,MA,0543
01021,25,013,25013,MA,0543
01022,25,013,25013,MA,0543
01026,25,015,25015,MA,0543
01027,25,015,25015,MA,0543
01028,25,013,25013,MA,0543
01029,25,003,25003,MA,0532
01030,25,013,25013,MA,0543
01031,25,027,25027,MA,0506
01032,25,015,25015,MA,0543
01033,25,015,25015,MA,0543
01034,25,013,25013,MA,0543
01035,25,015,25015,MA,0543
01036,25,013,25013,MA,0543
01037,25,027,25027,MA,0506
01038,25,015,25015,MA,0543
01039,25,015,25015,MA,0543
01040,25,013,25013,MA,0543
01041,25,013,25013,MA,0543
01050,25,015,25015,MA,0543
01053,25,000,25000,MA,0000
01053,25,015,25015,MA,0543
01054,25,011,25011,MA,0543
01054,25,015,25015,MA,0543
01056,25,013,25013,MA,0543
01057,25,013,25013,MA,0543
01059,25,015,25015,MA,0543
01060,25,000,25000,MA,0000
01060,25,015,25015,MA,0543
01061,25,015,25015,MA,0543
01062,25,000,25000,MA,0000
01062,25,015,25015,MA,0543
01066,25,015,25015,MA,0543
01068,25,027,25027,MA,0506
01069,25,013,25013,MA,0543
01070,25,015,25015,MA,0543
01071,25,013,25013,MA,0543
01072,25,011,25011,MA,0543
01073,25,000,25000,MA,0000
01073,25,015,25015,MA,0543
01074,25,027,25027,MA,0506
01075,25,000,25000,MA,0000
01075,25,013,25013,MA,0543
01075,25,015,25015,MA,0543
01077,25,013,25013,MA,0543
